id	qid1	sentence1	qid2	sentence2	label
3240	278750	0/1/2/3/4/5/6/7/11/12/10/11/9/13	278750	0/1/2/3/4/5/6/7/8/9/10/11/12/13	1
3241	270666	0/7/2/3/4/5/6/1/8/9	270666	0/1/2/3/4/5/6/7/8/9	0
3242	466794	0/1/2/3/4/9/6/7/8/9/10/11/12/13/14/15/16/17/18/19	466794	0/1/2/11/4/5/6/7/8/5/10/3/12/13/14/15/16/17/18/19	0
3243	482382	0/8/2/3/4/5/6/7/1/9/6	482382	0/1/2/3/4/5/10/7/8/9/6	0
3244	14849	0/1/2/3/4/5/6/7/8/9/10/11/12/13	14849	0/1/2/3/4/5/10/7/8/9/6/11/12/13	0
3245	4300	0/1/2/3/4/5/6/7/8/9/18/19/12/13/20/15/16/17/10/11/20/21/22/16	4300	0/1/2/3/4/22/8/9/18/11/12/13/20/15/23/9/18/11/20/21/5/6/7/16	0
3246	90002	0/15/5/3/4/21/12/13/8/9/1/11/6/13/14/1/16/17/18/19/20/2/22/23	90002	0/1/5/3/4/2/6/7/8/9/1/11/12/13/14/15/16/17/18/19/20/2/22/23	0
3247	6633	0/1/10/13/4/5/6/7/8/9/2/11/12/3/14/15/16/17/18	6633	0/1/10/3/4/5/6/7/8/9/2/11/12/13/14/15/16/17/18	0
3248	302390	0/1/2/3/4/5/16/0/8/9/10/11/12/13/14/15/6/17/18/19/7/21/22/23/24/25/26	302390	0/8/2/3/4/5/6/7/1/9/10/11/13/10/15/16/17/18/19/0/21/22/23/24/25/26	1
3249	270138	0/1/2/3/4/8/6/7/5/6/10	270138	0/1/2/3/4/5/6/7/8/6/10	1
3250	392528	0/1/2/3/4/5/6/18/8/9/10/11/12/13/14/15/16/17/7/19	392528	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	0
3251	520734	0/1/2/3/16/5/6/10/8/9/7/11/12/13/14/15/16/17/18/19/20/21	520734	0/1/2/3/16/19/6/7/8/9/7/11/12/13/14/15/4/17/18/5/20/21	0
3252	312092	0/1/2/3/4/5/6/7/8/9/14/11/12/13/14/15/16/17/18/19	312092	0/1/2/3/4/5/6/7/8/9/10/11/12/13/10/15/16/17/18/19	1
3253	149452	(367891,0):(95379,9)/(265770,4):(224690,5)/(207613,4)/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/17/23/24/25/26	149452	0/(75365,4)/(207613,4)/4/5/6/7/18/9/(186321,9)/10/11/12/13/14/15/16/22/8/19/(414086,17):(271754,23):(403965,4):(237281,2):(7880,4)/22/23/24/25/26	0
3254	386958	0/10/2/3/4/13/6/14/8/9/10/11/12/5/14/15/16/17/18/19	386958	0/1/2/3/12/5/6/14/8/9/10/11/4/13/7/15/16/17/18/8	0
3255	31201	0/1/2/13/14/5/6/7/8/9/10/11/12/3/4/15/16/17/18/19/23/21/22/20/24/25/26	31201	0/1/2/13/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/23/21/22/20/24/25/26	0
3256	57706	0/1/2/3/10/5/6/7/8/9/4/11/12/13	57706	0/1/2/3/4/5/6/7/8/9/10/11/12/13	0
3257	103604	0/1/2/3/12/7/8/9/10/3/4/19/6/13/14/15/16/17/18/5/20/21/22	103604	0/1/2/11/4/19/6/7/8/9/10/18/12/13/14/15/16/17/18/19/20/21/22	0
3258	318819	0/1/2/3/4/12/6/7/8/9/13/12/10/11/14	318819	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
3259	500707	0/1/2/3/4/5/6/7/8/9/10	500707	0/1/7/8/9/4/5/6/2/3/10	0
3260	514004	0/8/2/3/4/5/6/7/1/9/10/11	514004	0/1/2/3/4/5/6/7/8/9/10/11	0
3261	392219	0/1/2/3/4/5/6/7	392219	0/1/2/5/4/3/6/7	0
3262	384347	0/1/2/3/4/5/6/7/8/9/10/11/12/13	384347	0/1/8/3/4/5/6/7/11/9/10/2/12/13	0
3263	100888	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25	100888	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25	1
3264	336410	0/20/2/3/4/5/10/11/8/9/10/17/12/13/14/15/6/7/18/19/20/21/22/23	336410	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/10/17/18/19/1/21/22/23	0
3265	91867	0/1/2/3/4/5/6/7/8/9/10/11	91867	0/1/2/3/4/5/6/7/8/9/10/11	1
3266	470210	0/1/2/3/4/5/6/7/8/9/10/11	470210	0/4/2/3/1/5/6/7/8/9/10/11	0
3267	55683	16/1/2/3/10/5/6/7/8/9/4/11/12/13/14/15/0/17/18	55683	16/1/2/3/10/16/5/6/11/2/9/10/17/12/13/14/15/0/7/18	0
3268	46088	0/1/2/3/4/22/6/7/8/15/10/11/12/13/14/9/16/24/9/19/28/21/22/23/24/25/26/27/20/29	46088	0/1/2/3/4/26/6/7/8/18/10/11/12/13/14/9/16/24/22/27/20/21/15/16/17/25/5/19/20/29	0
3269	380769	0/6/7/8/3/4/5/1/2/9/10/11/12/13/14/15/16/17	380769	0/1/2/3/4/5/1/7/8/9/10/11/12/13/14/15/16/17	0
3270	526915	0/1/2/3/4/5/6/3/8/9/10/16/12/13/14/15/11/17	526915	0/1/2/7/4/5/6/3/8/9/15/11/12/13/14/10/11/17	0
3271	509004	0/1/2/3/4/5/6/7/8/15/10/11/12/13/14/9/16	509004	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16	0
3272	126934	0/1/2/3/4/5/10/4/12/9/10/4/8/9/14/15/16/17/16	126934	0/1/2/3/11/(37170,3):(288462,12)/8/9/10/4/12/9/14/15/16/17/18	1
3273	47501	0/1/2/3/4/5/6/7/8/9/10/11	47501	0/2/3/4/5/6/10/8/9/7/11	1
3274	317591	0/1/2/9/5/6/7/8/3/4/10/11	317591	0/1/2/3/4/5/6/7/8/9/10/11	0
3275	340912	0/1/2/3/4/5/6/7/8/9/10/3/12/(5686,1)/15/16/17	340912	0/1/2/3/4/5/(257152,1)/7/16/9/10/11/12/6/15/16/17	1
3276	462565	0/1/2/3/4/5/6/7/8/6/10/11/12/13/14	462565	0/1/2/3/5/6/7/8/6/10/4/11/12/13/14	1
3277	68706	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	68706	0/1/2/3/4/5/6/7/10/9/8/11/12/13/14	0
3278	271271	0/1/2/8/4/5/10/(2929,2)/3/4/9/(489397,21)/7/11	271271	0/1/2/3/4/5/6/7/8/9/10/11	0
3279	196157	26/1/2/3/4/5/6/7/15/9/18/11/22/13/14/8/16/17/10/19/20/21/26/23/24/25/22/27/28/29	196157	26/1/2/3/4/5/6/7/8/9/10/11/0/13/14/15/16/17/10/19/20/21/26/23/24/25/12/27/28/29	0
3280	473800	0/1/2/3/4/8/6/7/5/6/10	473800	0/1/2/3/4/5/6/7/8/9/10	1
3281	304074	0/1/2/3/4/5/6/7/8/9/10/11	304074	0/1/2/3/4/9/6/7/8/5/10/11	0
3282	470506	0/1/2/3/4/7/6/5/8	470506	0/1/2/3/4/5/6/7/8	0
3283	509131	0/1/2/3/4/5/6/7/8/9/10/11/12/16/19/18/14/15/13/22/20/21/22/23/24	509131	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/22/18/22/20/21/17/23/24	0
3284	358635	0/1/12/3/4/5/6/7/8/9/10/11/2/13/14	358635	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
3285	511254	0/1/2/3/4/5/10/7/8/9/6/11/12	511254	0/1/2/3/4/5/6/11/8/9/10/7/12	1
3286	225115	0/1/2/3/4/5/6/7/8/9/10	225115	0/1/8/5/6/7/2/3/4/9/10	0
3287	90936	0/1/2/3/4/5/6/7	90936	0/(48265,1)/5/6/4/2/3/7	0
3288	245093	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/22/17/18/19/20/21/22/(386948,12)/25/26	245093	0/1/2/3/4/5/12/7/8/9/10/11/6/13/14/15/16/17/18/19/20/21/16/(455317,21)/25/26	0
3289	414277	0/1/2/3/4/21/6/7/8/9/10/11/12/13/14/24/16/17/18/19/20/5/22/23/24	414277	0/1/2/3/4/21/22/7/(117228,7):(185539,3):(204010,3):(191224,10)/9/10/11/7/13/14/15/16/17/18/19/20/21/6/23/24	1
3290	55691	0/1/6/7/4/5/2/3/8/9/10/11/12/13	55691	0/1/2/3/4/5/6/7/8/9/10/11/12/13	0
3291	5596	0/1/2/3/13/5/6/7/8/17/10/11/12/13/5/15/16/17/18/19	5596	0/1/2/3/4/5/6/4/8/17/10/11/12/7/5/15/16/9/2/19	0
3292	327276	0/1/2/3/4/5/6/7/8/9/10/11/5/13	327276	0/1/2/3/11/12/6/7/8/9/10/4/12/13	0
3293	432137	0/1/2/3/4/5/6/7/8/9	432137	0/1/2/3/4/5/8/7/6/9	0
3294	492369	0/1/2/3/13/28/6/7/12/17/10/11/8/4/14/15/16/9/18/19/20/21/22/19/24/25/23/27/5/29	492369	0/1/2/3/4/5/6/7/12/17/10/11/8/13/14/15/16/17/18/23/20/21/22/26/24/25/26/27/28/29	0
3295	535829	0/1/2/3/4/5/6/7/8/9/10/11/12/13	535829	0/1/2/3/4/11/6/7/8/9/10/5/12/13	0
3296	420624	0/1/2/3/4/15/16/7/8/9/10/0/12/13/14/5/16/10	420624	11/1/2/3/14/15/16/7/8/9/17/0/12/13/4/15/6/10	0
3297	81232	0/1/2/3/4/5/6/7/8/11/10/9/12/13/14/15/16/17/18/19/20/21	81232	0/1/2/3/4/5/6/7/12/11/10/11/8/13/14/15/16/17/18/19/20/21	1
3298	126357	0/1/2/3/4/5/6/7/8/20/10/11/12/13/14/15/16/17/18/19/9	126357	0/1/2/3/4/5/6/14/8/9/10/11/12/13/7/15/16/17/18/19/20	0
3299	251840	0/1/2/3/4/5/6/7/8	251840	0/1/2/3/7/5/6/4/8	0
3300	275613	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	275613	0/1/2/5/6/4/3/7/8/9/10/11/12/13/14	1
3301	360158	0/7/1/2/3/4/5/6/1/2/10	360158	0/1/2/3/4/5/6/7/8/9/10	0
3302	317304	0/1/2/3/4/5/6/7/8/9	317304	0/1/2/7/4/5/6/3/8/9	0
3303	132208	0/1/2/3/4/16/6/7/8/9/10/11/12/10/14/15/5/17/18/19/20	132208	0/1/10/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20	0
3304	390673	0/1/2/5/4/3/6/7/8/9/10/11/12	390673	0/1/2/3/4/5/6/7/8/9/10/11/12	1
3305	424160	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19	424160	0/1/2/9/4/5/6/7/8/3/10/11/12/13/14/15/16/17/18/19	0
3306	57020	0/1/2/3/4/5/6/7	47897	0/20/3/21/18/(28568,4)/(122218,3)/19/24	1
3307	311408	0/1/2/3/4/8/10/11/9/5/11/12	311408	0/1/2/3/4/5/11/7/8/9/10/11/12	0
3308	341356	0/1/2/3/4/5/6/3/4/9/10/11/12/13/14	341356	0/1/2/3/4/9/6/3/4/5/10/11/12/13/14	1
3309	338489	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	338489	0/1/2/3/4/5/6/7/8/9/13/11/12/10/14/15	0
3310	30563	0/7/8/12/1/2/14	30563	0/1/8/12/7/2/14	0
3311	343818	0/9/2/14/4/16/17/7/8/1/10/11/12/13/3/15/5/6/18	343818	0/9/2/14/4/5/6/7/8/9/10/11/12/13/14/15/5/17/18	0
3312	3866	0/1/2/3/4/15/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26	3866	0/1/2/3/4/15/6/7/8/9/3/11/12/13/14/15/16/17/18/19/26/21/22/23/24/25/26	1
3313	264893	0/1/2/3/4/5/6/7/8/9/10	264893	0/1/2/3/9/5/6/7/8/4/10	0
3314	310610	0/1/2/3/4/5/6/7/8/9/10/11/12/13	310610	0/1/2/3/6/5/4/7/8/9/10/11/12/13	0
3315	238414	0/1/2/20/4/5/6/7/8/9/10/11/12/7/14/15/16/24/18/19/20/21/22/23/17	238414	18/1/2/20/4/5/4/7/8/9/10/11/22/13/14/15/16/24/18/19/3/21/12/23/17	0
3316	33297	0/1/2/3/4/5/17/18/8/9/10/11/12/13/2/3/4/17/7/19	33297	0/1/14/3/4/5/17/7/8/9/10/11/12/13/14/15/4/6/18/19	0
3317	142036	0/1/6/3/4/5/2/7/8/9/10/11/12/13/14/15/16/17/18/19/20	142036	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20	0
3318	494071	0/1/2/3/4/5/6/7/8/9/6/11/12/13	494071	0/1/5/3/4/2/6/12/8/9/10/11/7/13	0
3319	164546	0/1/7/3/4/5/1/2/8/4/10	164546	0/6/2/3/4/5/6/7/8/9/10	0
3320	398724	0/1/2/5/4/3/6/7/8/9/10	398724	0/1/2/3/4/5/6/7/8/9/10	0
3321	360719	0/1/2/3/4/5/6/7/19/9/10/11/4/13/14/15/16/17/18/8	360719	0/1/2/3/12/13/6/7/8/9/5/11/12/10/(277654,17)/15/16/17/18/19	0
3322	319790	0/1/2/3/4/5/6/7/15/9/10/11/12/3/14/8/16/17/18/19/20	319790	0/1/2/3/4/5/6/7/8/9/10/11/12/3/14/15/16/17/18/19/20	0
3323	276875	0/1/11/3/4/5/6/7/8/9/10/11/12/13/4/15	276875	0/1/2/3/4/5/6/7/8/9/10/2/12/13/4/15	1
3324	252735	0/1/2/3/4/5/6/7/8/9/10/17/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27	252735	0/7/2/3/4/5/6/25/8/9/10/17/12/13/14/15/16/11/18/19/20/21/22/23/24/1/26/27	0
3325	465105	0/1/2/3/4/7/(115956,7)/(165823,7)/5/11/(81647,7)/9/7/8/12	465105	0/1/2/3/4/7/6/10/8/9/7/11/12	0
3326	515599	0/22/2/3/9/5/6/7/8/4/10/24/12/13/14/15/16/17/18/19/20/21/1/23/24	515599	0/22/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/1/23/11	0
3327	423061	35/36/37/11/39/14/41/22/43	423061	35/36/37/27/39/14/41/42/43/3	1
3328	317069	0/1/2/3/10/11/6/7/8/9/10/5/12/13	317069	0/1/2/3/4/5/6/7/8/9/10/11/12/21	0
3329	270288	8/16/10/3/12/13/14/15/16/17/18/19/20/21/1/23/24/7	270288	8/9/(500408,12)/10/11/19/(344680,8)/14/15/9/17/18/12/20/(412633,3)/21/22/23/24/25	0
3330	141729	0/1/2/3/4/7/6/5/8/9/10/11/12/13/14/15/16	141729	0/1/2/3/4/5/6/7/8/9/4/11/12/13/14/15/16	0
3331	360896	0/1/2/3/4/9/6/7/8/9/10/11/12	360896	0/1/2/3/4/9/10/11/8/5/6/7/12	1
3332	464544	0/1/2/3/4/5/6/7/8/9/10/11/12/13/(6844,3)/(126508,18):(254002,3)/16/17/18	464544	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18	0
3333	265389	0/1/5/3/4/2/6/10/8/9/7/11/12	265389	0/10/2/6/4/5/3/10/8/9/10/11/12	1
3334	434193	0/1/16/10/4/13/6/7/8/2/3/11/19/24/(332651,3):(472846,5)/(120869,40)/16/17/11/12/13/21/22/23/24/25/26/27	434193	0/1/2/3/4/24/6/7/8/2/10/11/19/20/(63912,2):(472800,12)/(92075,5)/16/17/18/12/20/21/22/23/5/25/26/27	1
3335	84550	0/1/2/7/8/4/5/6/3/9	84550	0/1/2/3/4/5/6/7/8/9	0
3336	40660	0/1/2/3/4/5/6/7/8/13/14/11/12/9/10/15/16	40660	0/1/2/3/4/5/6/7/8/13/10/11/8/13/14/15/16	1
3337	517557	0/7/2/3/4/5/20/1/8/9/10/6/12/13/14/15/16/17/3/19/11	517557	0/1/2/18/4/5/6/7/8/9/10/20/12/13/14/15/16/17/18/19/20	1
3338	281632	0/1/2/3/4/5/6/10/8/6/7/11/12/13	281632	0/1/2/3/4/5/6/7/8/9/10/11/12/13	1
3339	473473	0/17/2/3/4/5/6/7/8/9/10/11/12/13/14/15/20/17/18/19/5/21/22/23/24/25/26/27/28	473473	0/17/2/3/4/20/6/7/8/9/10/11/12/13/14/15/5/17/18/19/20/21/22/23/24/25/26/27/28	1
3340	24706	0/1/2/3/4/5/6/7/8/9/10/11/12	24706	0/1/2/3/4/5/10/11/8/5/10/7/12	1
3341	517088	0/1/2/3/4/5/6/7/8/9	517088	0/1/2/3/7/5/6/4/8/9	0
3342	309858	0/1/2/3/4/5/6/7/8/9/10	309858	0/6/2/3/4/5/1/7/8/9/10	0
3343	492028	0/1/2/10/4/8/6/7/5/9/10/11/12/13/14/17/16/17	492028	0/1/2/10/4/5/6/7/8/9/10/11/12/13/14/17/16/17	0
3344	9880	0/1/2/3/12/5/6/7/(20967,17)/8/9/10/11/4/13	9880	0/6/2/3/4/5/1/7/8/9/10/11/12/13	0
3345	292474	0/1/2/3/4/5/12/7/8/9/10/11/12/7/14/15/16/17	292474	0/1/2/3/4/5/6/13/15/16/11/12/13/14/15/9/10/17	0
3346	325086	0/1/2/3/4/5/6/7/8/9/10/11/12/6/14/15	325086	0/1/2/3/4/5/6/7/8/9/10/11/12/6/14/15	1
3347	375687	0/1/14/3/4/5/6/7/8/9/10/11/12/13/2/15/16/17	375687	0/1/2/3/4/5/6/7/8/9/10/11/12/13/2/15/16/17	1
3348	274388	0/1/16/3/4/5/6/7/8/9/10/11/12/13/14/15/2/3/4/5/20/21	274388	0/1/16/3/4/5/20/7/8/9/10/11/12/13/14/15/2/17/18/19/6/21	0
3349	298411	0/1/2/3/4/11/6/9/8/11/10/9/12/13/14/1/16/23/27/28/20/21/22/17/24/25/26/18/19/29	298411	0/15/2/3/4/5/6/7/8/9/10/9/12/13/14/1/16/17/18/19/20/21/22/23/24/25/23/27/19/29	0
3350	459829	0/1/2/3/4/5/12/7/8/9/10/11/6/13/14	459829	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	0
3351	405234	0/1/2/3/4/5/6/12/8/9/10/11/7/13/14/15	405234	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15	0
3352	475589	0/1/2/3/4/5/6/7/8/9/10/11/12	475589	0/1/2/3/4/5/8/9/6/7/10/11/12	0
3353	336310	0/1/2/3/4/5/6/7/8/9/10/11	336310	0/1/6/7/4/5/2/3/8/9/10/11	0
3354	49481	0/1/2/3/4/5/6/7/8/9/10/11/12	49481	0/1/2/3/4/5/6/7/8/9/10/11/12	1
3355	387464	0/1/2/3/4/5/6/7/8/9/10/11/12/13/18	387464	0/1/2/3/12/5/6/7/8/9/10/3/4/13/14	0
3356	252016	0/1/2/3/4/8/9/7/5/6/10	252016	0/1/2/3/4/5/6/7/8/9/10	1
3357	56916	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	56916	0/1/2/3/4/7/6/5/8/9/10/11/12/13/14	1
3358	111353	0/1/2/3/8/9/6/7/8/5/10	111353	0/1/2/3/4/5/6/7/4/9/10	0
3359	15008	0/1/2/3/4/5/6/7/8/9/10/11/12/13	15008	0/1/2/3/4/5/6/7/8/9/10/11/12/13	1
3360	304777	0/1/2/9/4/5/6/7/8/3/10	304777	0/1/2/3/4/5/6/7/8/9/10	0
3361	41747	0/1/9/3/4/11/7/8/2/4/5/6/12/13	41747	0/1/9/3/10/5/6/7/8/9/10/11/7/13	1
3362	491167	0/1/2/3/4/5/6/7/8/9/10/11/12/13	491167	0/1/8/9/10/11/5/6/7/2/3/4/12/13	0
3363	8568	0/1/2/10/11/6/7/8/9/6/4/5/12/13/14/15/16/17/18	8568	0/1/2/3/4/5/6/7/8/9/10/5/12/13/14/15/16/17/18	0
3364	522523	12/1/2/3/14/15/6/7/8/9/10/11/0/13/4/5/16/17/18/19/20/21/22/23	522523	0/1/2/3/14/5/6/7/8/9/10/11/12/13/4/15/16/17/18/19/20/21/22/23	0
3365	481556	0/1/2/3/4/5/6/7/8/9/10/20/12/13/18/15/16/17/18/19/11/21/22/23/24/25/26	481556	0/1/2/3/4/5/6/7/8/9/19/11/12/13/18/15/16/17/14/19/20/21/22/23/24/25/26	1
3366	420156	0/1/2/3/4/5/11/6/7/8/12/2/11/9/10/(59133,4)/14/10/16	420156	0/1/10/3/4/5/6/7/8/9/10/11/12/13/14/13/16	1
3367	301458	0/1/2/3/4/5/6	301458	0/1/5/3/4/2/6	0
3368	515467	0/4/2/3/1/5/6/7/8	515467	0/1/2/3/4/5/6/7/8	0
3369	369195	0/10/2/3/4/5/6/7/8/9/10/11/12/13	369195	0/10/11/3/4/5/6/7/8/9/1/2/12/13	0
3370	509626	0/1/2/3/4/5/6/7/8/9/14/11/16/13/14/15/12/17/18	509626	0/1/2/3/4/5/6/7/18/15/14/17/10/13/12/9/10/11/18	1
3371	454777	0/1/2/25/4/5/6/7/51/9/3/40/32/13/14/43/16	454777	0/1/2/3/4/5/6/7/51/9/25/40/41/13/14/29/16	0
3372	46602	0/1/2/3/4/5/16/7/8/9/10/11/12/13/14/15/6/17/18/19/20	46602	0/1/2/3/4/5/6/7/8/9/19/12/13/14/15/6/17/18/10/11/12	0
3373	188955	0/1/2/3/4/5/6	188955	0/1/2/3/4/5/6	1
3374	323544	0/(86127,9)/(212888,6)/2/3/8/7/6/5/4/9/10/11/12/13/14	323544	0/1/2/3/4/5/6/5/8/9/10/11/12/13/14	1
3375	27528	0/1/5/3/13/2/9/7/8/15/10/11/12/13/8/6/16/17	27528	0/1/2/12/4/2/6/7/14/9/10/8/12/4/14/15/16/17	0
3376	416254	0/1/2/12/13/14/4/16/6/7/8/9/10/11/3/15/16	416254	0/1/2/3/4/16/6/7/8/9/10/11/12/13/14/15/5	0
3377	95161	0/1/2/3/10/5/6/7/8/9/4/11/12	95161	0/1/2/3/10/5/8/7/6/9/10/11/12	0
3378	183195	0/1/2/8/6/5/6/15/3/9/10/11/12/13/14/7/16/17/18	183195	0/1/2/3/4/5/4/15/8/9/10/11/12/13/14/15/16/17/18	1
3379	448024	0/5/2/3/(181734,5)/4/1/6/7/8/9/10/11/12	448024	0/1/2/3/4/5/6/7/8/9/10/11/12	0
3380	102647	0/6/2/3/4/5/6/18/19/1/10/11/23/24/25/26/16/1/7/8/9/21/11/12/13/14/15	102647	0/1/2/3/4/5/17/18/8/9/21/22/12/13/25/26/16/20/7/8/9/10/22/23/13/14/26	1
3381	348533	0/1/2/3/4/5/9/7/8/6/10	348533	0/1/2/3/4/8/6/7/5/9/10	1
3382	328899	0/1/2/3/4/5/6	328899	0/4/5/3/1/2/6	0
3383	141954	17/18/19/20/21/22/23/24/25/26/27/28/29	141954	17/18/19/20/21/27/23/24/25/26/22/28/29	0
3384	421964	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14	421964	0/1/2/(349305,12)/4/5/6/2/8/9/10/11/12/13/14	1
3385	246162	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27	246162	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/19/20/21/22/23/24/25/26/27	1
3386	181807	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/13/17/18	181807	0/13/2/3/4/5/6/7/8/9/10/11/12/1/14/15/13/17/18	1
3387	458759	11/1/2/3/4/11/12/7/8/9/10/0/6/13/14/15	458759	0/1/2/3/4/0/12/7/8/9/10/5/12/13/14/15	1
3388	66597	0/1/14/3/4/5/6/7/14/9/10/11/12/13/14/15	66597	0/1/8/3/4/5/6/13/8/9/10/11/12/7/14/15	0
3389	381622	0/1/2/3/7/8/9/5/6/4/3/11/12/13/14/15/16/17	381622	0/1/2/10/4/5/6/7/8/9/3/11/12/13/14/15/16/17	0
3390	239964	0/1/5/6/4/2/6/7	239964	0/1/2/6/4/5/3/7	0
3391	460724	0/1/2/8/4/5/6/7/8/9/10/11/12	460724	0/1/2/3/4/10/6/7/3/9/5/11/12	0
3392	375987	0/1/2/7/8/5/6/3/4/9/10/11	375987	0/1/2/3/4/5/6/7/8/9/10/11	0
3393	375835	0/1/6/7/4/5/6/3/8/9/10/11/12/13/2/15	375835	0/1/2/3/4/5/6/3/15/9/10/11/12/13/14/8	0
3394	479039	0/1/2/3/4/5/6/13/8/9/10/11/12/7/14/15/16/17/18/19/20/21	479039	0/1/2/7/4/5/6/3/8/9/10/14/12/3/11/15/16/17/18/19/20/21	0
3395	337726	0/1/2/3/4/9/7/6/10	337726	5/0/1/2/3/4/5/6/7/5/9/10/8	0
3396	476749	0/5/6/7/4/1/2/7/8	476749	0/5/2/7/4/5/6/3/8	0
3397	169432	0/1/2/3/4/5/6/7/20/9/10/11/12/13/14/15/16/(36357,2)/18/19/8/12/22/23/24/25/15	169432	0/1/2/3/(235231,3):(240177,11):(404568,7):(166804,19):(374690,9):(240058,18)/7/8/9/10/11/12/13/14/26/16/17/18/19/20/12/22/23/24/25/26	0
3398	357456	0/1/2/3/4/5/6/7/8/9	357456	0/1/8/5/6/7/2/3/4/9	0
3399	306186	0/6/7/3/4/17/1/7/3/9/10/11/12/13/14/15/16/17	306186	0/1/7/3/4/5/6/2/3/9/10/11/12/13/14/15/16/5	1
3400	355850	9/1/2/3/4/5/6/7/19/20/10/11/12/13/14/15/16/17/18/8/9/26/22/23/24/25/26/27	355850	9/1/2/3/4/5/6/7/8/0/10/11/12/13/14/15/16/17/18/19/0/26/22/23/24/25/21/27	1
3401	509493	0/1/5/6/3/4/2/7	509493	0/1/2/3/4/5/6/7	0
3402	337342	0/5/2/3/4/1/6	337342	0/1/2/3/4/5/6	0
3403	266095	0/1/2/3/4/5/6/13/12/9/11/8/7/14	266095	0/1/2/3/4/5/6/7/12/9/10/11/8/13/14	0
3404	507787	0/2/3/4/7/8/5/6/(60696,38)/(267348,9)/11/12/9	507787	0/1/2/3/4/5/6/7/8/9/10/11/12/9	0
3405	225137	0/1/2/3/4/5/6/7/8/9/10/11/16/13/14/15/12/17/18/19/20/21/22/23/24/7/26/27	225137	0/1/2/25/4/5/6/25/8/9/10/11/16/13/14/15/16/17/18/19/20/21/22/3/24/23/26/27	0
3406	136867	0/1/2/3/4/5/6/7/8/9/10/11	136867	0/9/3/4/5/6/7/8/1/2/10/11	0
3407	350891	0/1/2/3/4/5/6/7/11/9/10/8/12	350891	0/1/2/3/4/5/6/7/8/9/10/11/12	0
3408	316951	0/1/2/3/4/5/6/7/8/9/10/11/12/13/14/15/16/17/18/16/20/16/22/23/24/25/26/27	316951	0/1/2/3/4/5/6/7/8/17/10/11/12/13/18/15/21/9/18/16/20/21/22/23/24/25/26/27	0
3409	173045	0/1/2/20/4/5/6/7/8/10/11/12/14/15/16/17/18/19/23/21/22/3/24	173045	(270584,3)/16/1/2/3/4/5/6/7/8/(257527,4)/11/11/11/(246594,39)/14/15/16/17/18/19/20/21/22/23/24/13	0
3410	37494	0/1/2/3/4/5/6/7/8/9/6/11/8/13/14/15	37494	0/1/2/3/4/5/10/3/12/13/10/3/12/9/14/15	0
3411	224225	0/1/2/3/4/5/10/11/8/9/6/7/12	224225	0/1/2/3/4/5/6/7/8/9/6/11/12	0
3412	397802	0/1/2/3/12/5/6/7/8/23/10/11/4/13/14/15/16/17/18/(216764,2)/21/22/23/0/25/26/27/22	397802	24/1/2/3/4/5/6/7/8/23/0/11/12/13/14/15/16/17/18/(407062,9)/21/28/9/10/25/26/27/28	0
3413	315568	0/1/2/3/4/5/6/7/8/9	315568	0/5/6/3/4/1/2/7/8/9	0
3414	13917	0/1/2/3/10/5/6/7/8/9/10/11/12/13/14/15/16	13917	0/1/2/3/10/5/6/7/8/9/4/11/12/13/14/15/16	1
3415	104360	0/1/2/3/4/5	104360	0/1/4/3/2/5	0
